Da0e,Precip in.
1/4/14,0
1/5/14,0
1/6/14,--
1/7/14,0
1/8/14,0.06
1/9/14,0.07
1/10/14,0.01
1/11/14,0.08
1/12/14,0.01
1/13/14,0
1/14/14,0
1/15/14,0
1/16/14,0
1/17/14,0
1/18/14,0
1/19/14,0
1/20/14,0
1/21/14,0
1/22/14,0
1/23/14,0
1/24/14,0.06
1/25/14,0.06
1/26/14,0
1/27/14,0
1/28/14,0.05
1/29/14,0
1/30/14,0
1/31/14,0
2/1/14,**
2/2/14,0.02 * 
2/3/14,0.01
2/4/14,0.19
2/5/14,0.01
2/6/14,0
2/7/14,0
2/8/14,0.01
2/9/14,0
2/10/14,0.01
2/11/14,0.01
2/12/14,0.04
2/13/14,0
2/14/14,0
2/15/14,0
2/16/14,0
2/17/14,0
2/18/14,0
2/19/14,--
2/20/14,0
2/21/14,0
2/22/14,0
2/23/14,0
2/24/14,0
2/25/14,0.02
2/26/14,0.06
2/27/14,0.21
2/28/14,0
3/1/14,0
3/2/14,0.01
3/3/14,1.02
3/4/14,0.28
3/5/14,0.04
3/6/14,0
3/7/14,0
3/8/14,0
3/9/14,0.56
3/10/14,0.02
3/11/14,0.03
3/12/14,0
3/13/14,0
3/14/14,0
3/15/14,**
3/16/14,**
3/17/14,0.07 * 
3/18/14,0
3/19/14,0
3/20/14,0
3/21/14,0
3/22/14,0
3/23/14,0
3/24/14,0
3/25/14,0
3/26/14,0
3/27/14,0.05
3/28/14,0.02
3/29/14,0
3/30/14,0
3/31/14,0
4/1/14,0
4/2/14,0
4/3/14,0
4/4/14,0
4/5/14,0
4/6/14,0.04
4/7/14,0.03
4/8/14,0.13
4/9/14,0
4/10/14,0
4/11/14,0
4/12/14,0
4/13/14,0
4/14/14,0
4/15/14,0.05
4/16/14,0
4/17/14,0
4/18/14,0.15
4/19/14,0
4/20/14,0
4/21/14,0
4/22/14,0.01
4/23/14,0
4/24/14,0
4/25/14,0
4/26/14,0
4/27/14,--
4/28/14,0
4/29/14,--
4/30/14,0
5/1/14,--
5/2/14,0
5/3/14,0
5/4/14,0
5/5/14,0
5/6/14,--
5/7/14,0
5/8/14,0
5/9/14,1.04
5/10/14,--
5/11/14,0.01
5/12/14,0
5/13/14,3.69
5/14/14,0.38
5/15/14,0
5/16/14,0
5/17/14,0
5/18/14,0
5/19/14,0
5/20/14,0
5/21/14,0
5/22/14,0
5/23/14,0
5/24/14,0.09
5/25/14,0.3
5/26/14,0.24
5/27/14,4.2
5/28/14,0.22
5/29/14,0.01
5/30/14,0
5/31/14,0
6/1/14,0
6/2/14,0
6/3/14,0
6/4/14,0
6/5/14,0
6/6/14,0
6/7/14,0
6/8/14,0
6/9/14,0.17
6/10/14,0.62
6/11/14,0
6/12/14,0
6/13/14,0.42
6/14/14,0
6/15/14,0
6/16/14,0
6/17/14,0
6/18/14,0
6/19/14,0
6/20/14,0
6/21/14,0.37
6/22/14,0.03
6/23/14,0
6/24/14,0.08
6/25/14,0.01
6/26/14,0
6/27/14,0.44
6/28/14,0
6/29/14,0.01
6/30/14,0
7/1/14,--
7/2/14,0
7/3/14,0
7/4/14,0
7/5/14,0
7/6/14,0.03
7/7/14,0
7/8/14,0
7/9/14,0
7/10/14,0
7/11/14,0
7/12/14,0
7/13/14,0
7/14/14,0
