Date,Discharge (cfs)
8/7/2013,9.310729167
8/8/2013,8.5425
8/9/2013,8.738541667
8/10/2013,9.105
8/11/2013,13.3125
8/12/2013,35.12708333
8/13/2013,14.055625
8/14/2013,10.579375
8/15/2013,29.22416667
8/16/2013,32.24479167
8/17/2013,37.27916667
8/18/2013,17.74479167
8/19/2013,13.2875
8/20/2013,10.4490625
8/21/2013,9.755833333
8/22/2013,9.136875
8/23/2013,9.98625
8/24/2013,13.343125
8/25/2013,9.039583333
8/26/2013,31.99802083
8/27/2013,95.61354167
8/28/2013,28.6
8/29/2013,15.465625
8/30/2013,10.64375
8/31/2013,11.50072917
9/1/2013,9.405625
9/2/2013,7.424479167
9/3/2013,8.636041667
9/4/2013,7.329479167
9/5/2013,6.0771875
9/6/2013,15.5084375
9/7/2013,24.2125
9/8/2013,16.98541667
9/9/2013,14.80416667
9/10/2013,14.21020833
9/11/2013,8.305
9/12/2013,7.417916667
9/13/2013,6.841666667
9/14/2013,6.385104167
9/15/2013,5.7
9/16/2013,6.711145833
9/17/2013,9.311875
9/18/2013,5.720625
9/19/2013,6.110833333
9/20/2013,119.7104167
9/21/2013,1115.479167
9/22/2013,212.6625
9/23/2013,83.99375
9/24/2013,49.140625
9/25/2013,21.47708333
9/26/2013,11.1353125
9/27/2013,5.892916667
9/28/2013,4.739270833
9/29/2013,19.998125
9/30/2013,13.02260417
10/1/2013,7.647916667
10/2/2013,16.9871875
10/3/2013,14.101875
10/4/2013,5.260729167
10/5/2013,2.692708333
10/6/2013,14.63958333
10/7/2013,18.65020833
10/8/2013,4.516354167
10/9/2013,1.875729167
10/10/2013,2.616875
10/11/2013,1.515
10/12/2013,5.930208333
10/13/2013,48.04114583
10/14/2013,49.18333333
10/15/2013,69.5875
10/16/2013,39.40625
10/17/2013,35.32083333
10/18/2013,41.17291667
10/19/2013,975.3020833
10/20/2013,336.5104167
10/21/2013,160.359375
10/22/2013,56.65625
10/23/2013,31.28125
10/24/2013,20.24270833
10/25/2013,13.83645833
10/26/2013,9.38625
10/27/2013,300.7769792
10/28/2013,181.8645833
10/29/2013,91.20208333
10/30/2013,189.184375
10/31/2013,1598.833333
11/1/2013,2041.354167
11/2/2013,1209.802083
11/3/2013,627.69
11/4/2013,237.3020833
11/5/2013,115.696875
11/6/2013,70.83473684
11/7/2013,59.31770833
11/8/2013,48.69680851
11/9/2013,31.21612903
11/10/2013,22.55
11/11/2013,18.165625
11/12/2013,14.903125
11/13/2013,11.16747368
11/14/2013,8.629479167
11/15/2013,7.064166667
11/16/2013,5.7796875
11/17/2013,6.941666667
11/18/2013,9.484166667
11/19/2013,4.786458333
11/20/2013,2.472708333
11/21/2013,3.2509375
11/22/2013,160.7239583
